Sample,Year,Month,Day,Bulk vs. Seq,Sample,Study Site,,pH,pH stat,NH4,NH4 stat,Ordinal date,Na,Mg,K,Ca,Total Al,Si,S,ICP,,Cl,SO4,NO3,IC,Total N,TN,DON,,DOC,DOC,,Ca_Al Ratio,ADP,
38877,2007,11,16,Bulk,BP,BP,,6.61,D,264.36,D,732996,37.19,33.74,80.18,25.70,0.56,16.73,,D,38877,32.07,64.76,28.90,D,300.84,D,7.58,38877,358.61,D ,Y,22.9464285714,N/A,
38878,2007,11,16,Bulk,TF,BE,,6.58,D,15.12,D,732996,102.65,118.49,289.51,123.25,1.48,121.75,,D,38878,45.47,157.78,51.63,D,100.55,D,33.80,38878,1144.36,D ,Y,41.6385135135,N/A,
38879,2007,11,16,Bulk,TF,YP,,6.98,D,4.52,D,732996,53.07,195.02,558.30,161.18,5.93,27.06,,D,38879,71.12,292.26,6.15,D,58.31,D,47.64,38879,86.14,D ,Y,13.5902192243,N/A,
38880,2007,11,16,Bulk,SF,YP,,6.77,D,3.61,D,732996,28.27,250.16,681.83,253.49,40.77,100.75,,D,38880,103.31,276.91,0.55,D,85.51,D,81.35,38880,6825.55,D ,Y,3.1087809664,N/A,
38881,2007,11,16,Bulk,LL,LL,,6.91,D,7.41,D,732996,26.97,501.96,1038.35,360.28,32.61,112.85,,D,38881,94.71,309.48,0.11,D,93.06,D,85.55,38881,6467.76,D ,Y,5.52407237044,N/A,
38882,2007,11,16,Bulk,LL,LL,,6.23,D,214.15,D,732996,43.50,261.68,982.85,317.36,13.34,25.28,,D,38882,104.10,779.60,255.99,D,526.93,E,56.79,38882,6844.44,D ,Y,11.8950524738,N/A,
38883,2007,12,10,Bulk,BP,BP,,4.82,D,39.00,D,733020,26.97,12.34,9.97,24.45,0.74,1.07,,D,38883,19.46,50.84,58.99,D,109.04,D,11.06,38883,365.16,D ,Y,16.5202702703,N/A,
38884,2007,12,10,Bulk,TF,BE,,5.82,D,86.60,D,733020,46.11,51.02,101.02,61.88,1.11,7.83,,D,38884,41.43,163.51,108.33,D,221.70,D,26.76,38884,476.10,D ,Y,27.8738738739,N/A,
38885,2007,12,10,Bulk,TF,YP,,6.04,D,16.66,D,733020,34.80,51.84,163.42,55.89,1.48,3.92,,D,38885,36.95,142.91,74.79,D,103.25,D,11.80,38885,579.42,D ,Y,18.8817567568,N/A,
38886,2007,12,10,Bulk,SF,BE,,4.90,D,158.57,D,733020,35.23,93.81,243.86,181.39,0.93,29.37,,D,38886,45.94,511.11,136.92,D,324.96,D,29.47,38886,776.76,D ,Y,97.5215053763,N/A,
38887,2007,12,10,Bulk,SF,YP,,6.63,D,10.22,D,733020,16.96,65.83,209.46,65.37,1.48,2.14,,D,38887,35.90,187.67,24.34,D,70.50,D,35.95,38887,1296.09,D ,Y,22.0844594595,N/A,
38888,2007,12,10,Bulk,LL,LL,,6.43,D,6.28,D,733020,32.19,141.54,399.99,143.71,29.28,68.71,,D,38888,48.60,154.42,41.35,D,110.80,D,63.17,38888,3515.23,D ,Y,2.45406420765,N/A,
38889,2007,12,10,Bulk,LL,LL,,6.75,D,6.75,D,733020,19.14,114.38,300.51,83.83,12.23,43.43,,D,38889,40.08,86.90,ND,D,51.48,D,44.73,38889,1979.27,D ,Y,3.42722812756,N/A,
38890,2007,12,14,Bulk,BP,BP,,4.56,D,58.18,D,733024,40.02,15.63,5.63,27.94,1.85,4.98,,D,38890,38.62,103.11,77.45,D,130.62,D,-5.01,38890,287.46,D ,Y,7.55135135135,N/A,
38891,2007,12,14,Bulk,TF,BE,,4.99,D,105.02,D,733024,47.85,43.61,119.44,70.36,1.48,7.83,,D,38891,41.79,237.82,102.64,D,217.61,D,9.95,38891,401.91,D ,Y,23.7702702703,N/A,
38892,2007,12,14,Bulk,TF,YP,,5.25,D,51.47,D,733024,43.06,97.92,226.08,112.28,3.34,4.63,,D,38892,50.03,359.13,76.25,D,141.32,D,13.59,38892,1054.55,D ,Y,16.8083832335,N/A,
38893,2007,12,14,Bulk,SF,BE,,4.95,D,110.31,D,733024,31.32,75.70,195.14,160.18,0.74,24.21,,D,38893,40.72,406.96,107.93,D,231.15,D,12.91,38893,547.54,D ,Y,108.22972973,N/A,
38894,2007,12,14,Bulk,SF,YP,,5.65,D,11.78,D,733024,30.88,180.21,326.59,172.16,1.85,2.49,,D,38894,58.13,499.20,49.31,D,91.39,D,30.30,38894,1403.54,D ,Y,46.5297297297,N/A,
38895,2007,12,14,Bulk,LL,LL,,6.52,D,3.50,D,733024,26.75,117.67,366.49,124.75,24.83,68.00,,D,38895,28.99,157.15,10.88,D,86.49,D,72.11,38895,3481.21,D ,Y,2.51208215868,N/A,
38896,2007,12,14,Bulk,LL,LL,,6.85,D,0.88,D,733024,24.36,203.25,485.41,150.20,25.20,67.64,,D,38896,31.45,220.43,ND,D,63.05,D,62.17,38896,3436.50,D ,Y,2.98015873016,N/A,
38897,2007,12,17,Bulk,BP,BP,,4.86,D,14.72,D,733027,34.80,10.70,3.32,10.48,0.00,0.36,,D,38897,35.59,38.73,18.62,D,48.56,D,15.22,38897,206.90,D ,Y,N/A,N/A,
38898,2007,12,17,Bulk,TF,BE,,5.36,D,25.75,D,733027,40.89,15.63,60.10,22.95,0.74,3.20,,D,38898,46.90,74.46,29.42,D,65.91,D,10.75,38898,335.45,D ,Y,15.5067567568,N/A,
38899,2007,12,17,Bulk,TF,YP,,5.39,D,17.06,D,733027,34.80,36.21,132.22,37.92,1.48,1.78,,D,38899,53.13,139.82,22.51,D,57.63,D,18.06,38899,751.58,D ,Y,12.8108108108,N/A,
38900,2007,12,17,Bulk,SF,BE,,5.28,D,14.75,D,733027,19.14,9.05,42.71,20.46,0.74,3.56,,D,38900,25.04,57.85,18.49,D,52.20,D,18.96,38900,334.32,D ,Y,13.8243243243,N/A,
